date,pred_cases_mean,pred_cases_q10,pred_cases_q90,ess
2020-03-10,43.49638588685071,43.48431007092203,43.509612918652316,299.99999999999994
2020-03-11,65.75529234542525,65.72300263606552,65.78968014342607,299.99999999999994
2020-03-12,81.72341920847005,81.67827126486505,81.76496227841862,299.99999999999994
2020-03-13,94.36860153340761,94.30706851402063,94.42432552126944,299.99999999999994
2020-03-14,105.40963178877577,105.31224156864965,105.46456720634023,264.74186156653826
2020-03-15,115.78811015392948,115.70806132993718,115.86873943857034,299.99999999999994
2020-03-16,126.14540887267202,126.04546807814222,126.24775122907069,299.99999999999994
2020-03-17,136.83059621888705,136.70625016795478,136.9447558014861,299.99999999999994
2020-03-18,148.06312786520058,147.9324885053815,148.19996711803336,299.99999999999994
2020-03-19,160.0138045575257,159.8612724974082,160.16441046571978,299.99999999999994
2020-03-20,172.80556905918283,172.65208534352485,172.96351038658486,299.99999999999994
2020-03-21,186.584406466137,186.36623709265314,186.72270104239098,272.8972868120415
2020-03-22,201.32422240309492,201.1291136371049,201.52856644794034,299.99999999999994
2020-03-23,217.2436418579008,217.02569622339527,217.4444119542088,299.99999999999994
2020-03-24,234.39791471873028,234.16518971241405,234.63073010298854,299.99999999999994
2020-03-25,252.89890099340627,252.6404888848437,253.14374873758175,299.99999999999994
2020-03-26,272.8442825998166,272.558497070239,273.1137285796079,299.99999999999994
2020-03-27,294.3523918951347,294.06630212024453,294.6581435948093,299.99999999999994
2020-03-28,317.5472901148583,317.2219130750207,317.88608314241355,299.99999999999994
2020-03-29,342.56439283725655,342.202475038153,342.93270609755496,299.99999999999994
2020-03-30,369.54587999346387,369.1502630997272,369.93598470589546,299.99999999999994
2020-03-31,398.6493397773343,398.2262486347241,399.0850895023148,299.99999999999994
2020-04-01,430.0366349878688,429.5734732593896,430.5083046142299,299.99999999999994
2020-04-02,463.89821500382175,463.386259962521,464.3901770572084,299.99999999999994
2020-04-03,500.4225062686449,499.8654361496312,500.98806461769027,299.99999999999994
2020-04-04,539.8176436251886,539.2345576915459,540.4277515454348,299.99999999999994
2020-04-05,582.3130693381869,581.6712418478926,582.9588892836966,299.99999999999994
2020-04-06,628.1521630039888,627.484661785377,628.8677966835695,299.99999999999994
2020-04-07,677.5941261453701,676.8764620933841,678.3471535924996,299.99999999999994
2020-04-08,730.9093777466327,730.1350577971017,731.7708811108886,299.99999999999994
2020-04-09,788.4318211602432,787.5940714274685,789.3863049154406,299.99999999999994
2020-04-10,850.478182561756,849.5265748596476,851.459917507049,299.99999999999994
2020-04-11,917.3893290472054,916.3550972645197,918.4100909772941,299.99999999999994
2020-04-12,989.5916950844617,988.4206853066526,990.7261340806899,299.8427845792272
2020-04-13,1067.428905657021,1066.1956322824503,1068.6655336109502,299.99999999999994
2020-04-14,1151.408289394118,1150.0588168691465,1152.6898195131182,299.99999999999994
2020-04-15,1241.990274953907,1240.5544938445003,1243.4319103460296,299.99999999999994
2020-04-16,1339.6784183246232,1338.1289437920418,1341.2543708061824,299.99999999999994
2020-04-17,1445.0341759566752,1443.334372138931,1446.7458860395386,299.99999999999994
2020-04-18,1558.6998911967007,1556.8867670069371,1560.5512384063095,299.99999999999994
2020-04-19,1681.2490955187636,1679.248517199556,1683.1983526718254,299.99999999999994
2020-04-20,1813.4326861728407,1811.3363975629684,1815.5939264366525,299.99999999999994
2020-04-21,1955.9943579092715,1953.675219575739,1958.37994392954,299.99999999999994
2020-04-22,2109.750897021551,2107.2717533304726,2112.192634740493,299.99999999999994
2020-04-23,2275.5644934801726,2272.9584234654585,2278.2957279422267,299.99999999999994
2020-04-24,2454.390225880041,2451.580056813783,2457.422628413688,299.99999999999994
2020-04-25,2647.1980220434066,2644.1973158681267,2650.295499308082,299.972931694218
2020-04-26,2855.1818623403315,2851.980135110491,2858.539972595912,299.99999999999994
2020-04-27,3079.432474769621,3075.9031191057093,3083.205548301471,299.99999999999994
2020-04-28,3321.25636841151,3317.64358160116,3325.504222097301,299.99999999999994
2020-04-29,3581.9837135861185,3577.9653079635973,3586.4499764301036,299.99999999999994
2020-04-30,3863.145516925164,3858.8365451422083,3867.70026360308,299.99999999999994
2020-05-01,4166.304133266214,4161.591575582337,4171.378971866549,299.99999999999994
2020-05-02,4493.09577051733,4488.23183076719,4498.464237100461,299.9355179419698
2020-05-03,4845.565979325166,4840.1523339325195,4851.458523980113,299.99999999999994
2020-05-04,5225.493771230756,5219.5650610501525,5231.867552168283,299.99999999999994
2020-05-05,5635.0523763980755,5628.563503041104,5641.712595287338,299.99999999999994
2020-05-06,6076.545603033902,6069.501718000703,6083.657929283901,299.99999999999994
2020-05-07,6552.461403227317,6544.976435916216,6560.362327898762,299.99999999999994
2020-05-08,7065.44724568347,7057.42918384009,7073.994136711459,299.99999999999994
2020-05-09,7618.300106103056,7609.673842287055,7627.32635215361,299.99999999999994
2020-05-10,8214.159858926974,8204.936996206638,8223.927840212224,299.99999999999994
2020-05-11,8856.264697112927,8846.293148402354,8866.653220844104,299.99999999999994
2020-05-12,9548.203330792721,9537.305674914804,9559.48037217692,299.99999999999994
2020-05-13,10293.722400613713,10282.085254753538,10305.741421012863,299.99999999999994
2020-05-14,11096.912046024128,11084.422002992238,11110.025125767655,299.99999999999994
2020-05-15,11962.160230115904,11948.779051625012,11976.149272275527,299.99999999999994
2020-05-16,12894.13308950774,12879.576578987562,12909.54108739253,299.99999999999994
2020-05-17,13897.906898417974,13882.34473474768,13914.434224817218,299.99999999999994
2020-05-18,14978.815626307858,14962.082657612986,14996.649103988533,299.99999999999994
2020-05-19,16142.662195624565,16124.745376475073,16161.98808993914,299.99999999999994
2020-05-20,17395.660648338704,17376.24445275705,17416.423405349087,299.99999999999994
2020-05-21,18744.34220933009,18723.824888904375,18766.637683396915,299.99999999999994
2020-05-22,20195.864575838226,20173.82988046505,20219.862343534394,299.99999999999994
2020-05-23,21757.699523837415,21734.300602201416,21783.8641526815,299.99999999999994
2020-05-24,23437.94916074895,23412.526525517653,23465.95437626262,299.99999999999994
2020-05-25,25245.210649499288,25217.727963018817,25275.35814770889,299.99999999999994
2020-05-26,27188.547252609136,27159.083868853413,27220.75188773662,299.99999999999994
2020-05-27,29277.802772754614,29245.689322758146,29312.27522672591,299.99999999999994
2020-05-28,31523.30447366468,31489.250013474055,31560.570149170202,299.99999999999994
2020-05-29,33935.43607633101,33898.98431370753,33976.54684940668,299.905980505945
2020-05-30,36527.57936959634,36487.723375047506,36570.68334479086,299.99999999999994
2020-05-31,39309.66448640444,39267.76744424836,39357.71586777407,299.90630538042615
2020-06-01,42297.25122491341,42251.790220033516,42346.805974021976,299.99999999999994
2020-06-02,45502.111081230905,45453.332638550484,45555.518944880125,299.99999999999994
2020-06-03,48939.3748679576,48887.467986986776,48996.41828160692,299.99999999999994
2020-06-04,52624.37931306813,52568.0771371726,52684.88031935542,299.99999999999994
2020-06-05,56572.76684342722,56512.36031603992,56637.70833240502,299.99999999999994
2020-06-06,60801.311568385376,60737.18621962653,60871.884051841254,299.99999999999994
2020-06-07,65327.25084100749,65258.62474153872,65402.48634420447,299.99999999999994
2020-06-08,70168.6667731992,70094.7596011356,70248.31127441568,299.99999999999994
2020-06-09,75342.90771414283,75264.36929432499,75429.43897719566,299.9110894153305
2020-06-10,80872.54535728031,80787.65131077472,80963.97057376405,299.99999999999994
2020-06-11,86773.92452253184,86683.54013427898,86870.6478453531,299.99999999999994
2020-06-12,93067.86171664092,92970.95521440291,93171.37630965917,299.99999999999994
2020-06-13,99774.64822139185,99672.05357757842,99885.38524081107,299.99999999999994
