date,pred_cases_mean,pred_cases_q10,pred_cases_q90,pred_icu_mean,pred_icu_q10,pred_icu_q90,pred_deaths_mean,pred_deaths_q10,pred_deaths_q90,pred_hosp_mean,pred_hosp_q10,pred_hosp_q90,beta_mean,tau_i_mean,delta_h_mean,rho_c_mean,q_c_mean,nu_eff,S_mean,V_mean,E_mean,A_mean,I_mean,H_mean,C_mean,R_mean,D_mean,S_q10,V_q10,E_q10,A_q10,I_q10,H_q10,C_q10,R_q10,D_q10,S_q90,V_q90,E_q90,A_q90,I_q90,H_q90,C_q90,R_q90,D_q90,ess,obs_cases,obs_icu,obs_deaths,obs_hosp,raw_cases
2020-03-10,439.0402101620156,439.0402101619985,439.0402101619985,71.92266753640192,71.92266753639804,71.92266753639804,19.307394136956873,19.307394136956532,19.307394136956532,276.8001368353204,276.8001368353053,276.8001368353053,0.1015446859753108,0.0009664157777791717,0.04904681509332962,0.1827060529584716,0.20000000000000587,0.0,83114381.57751167,0.0,15932.910852653327,14444.887964436273,35802.41330902737,393.65235235391833,209.42111310403175,18783.17870231693,54.393032777240464,83114381.57751139,0.0,15932.910852653173,14444.887964436422,35802.41330902738,393.6523523539212,209.4211131040333,18783.178702316833,54.39303277723982,83114381.57751139,0.0,15932.910852653173,14444.887964436422,35802.41330902738,393.6523523539212,209.4211131040333,18783.178702316833,54.39303277723982,1.0000000264876996,0.0,0.0,55.25,291.0204081632653,3044.75
2020-03-11,453.87682089578556,442.46559695956233,467.196220844072,66.06061545944564,63.38274842238125,68.79044672654537,17.789297520144594,17.078994738857073,18.569637177724964,257.07341331844026,246.457763127103,267.6231726992565,0.0988372717142875,0.0009662727838859602,0.04914246451097424,0.18249070527449004,0.20060202352334777,0.0,83110916.36810027,0.0,16421.904378515595,13629.739799341194,33255.802295884096,361.99441149663915,196.75652762363373,25146.127863868245,75.81777882533754,83109546.52169113,0.0,16057.219244500246,13403.175644199442,32679.475111314965,355.836017993611,193.31042855204274,24691.201034488986,74.72725238378486,83112137.17934993,0.0,16776.31968248416,13865.998620366367,33832.2989877598,368.30552552458687,200.21287015200812,25592.394316224803,76.76383629202928,527.4075432606755,19.042187093529208,0.0,56.6,342.85714285714283,3217.4
2020-03-12,452.93958611520753,436.49697481603533,473.05510811031166,60.62030276760889,57.17155791842508,64.17144553705806,16.483217985633573,15.540629403499679,17.523324121495943,240.88242861079658,226.46261209776227,255.6713572947951,0.09569656870973942,0.0009677011157620521,0.049448589185130315,0.18185699239349656,0.20100490293199344,0.0,83107880.24676587,0.0,16355.147013728394,12986.9114764392,31115.292817078232,333.34051096831377,184.8749611414708,31054.934535300865,95.74194816012695,83105983.80125254,0.0,15840.61602154967,12654.272786481779,30281.55035266264,325.0674147775453,179.78965486130636,30311.787649948605,93.88877098647514,83109774.25515646,0.0,16909.769502671945,13304.556321394688,31933.88619520031,342.1335710552342,189.4940557602411,31781.938842812582,97.56655240767475,834.5890987069248,227.73575131215688,0.0,63.333333333333336,403.265306122449,3356.1666666666665
2020-03-13,480.9838901202426,451.15821463504005,515.8755095863942,56.66173008016803,53.0986136470724,60.72443045228382,15.589308240111272,14.523372845225065,16.680254983748174,231.25253120540285,215.97699112660754,249.6146539869438,0.10250472251176385,0.0009660758943231288,0.04977802046427943,0.18092584456152555,0.20356558935225347,0.0,83102403.83918518,0.0,17149.323305671915,12725.620629632362,29921.630971786584,313.17654046323753,176.31622647169365,37204.0267309065,114.37232319050305,83099997.75771555,0.0,16372.67714401355,12330.712842584799,29078.391188895977,303.8333538692891,170.29747667417172,36273.142483154596,111.31922440722688,83104899.94726454,0.0,17865.57253817889,13126.599713873242,30806.691773616316,323.7035945564851,182.14141702467788,38269.4984256253,116.88293694912655,189.03964547438852,740.2578471019324,0.0,73.85714285714286,477.1428571428572,3659.714285714286
2020-03-14,560.2293610857374,543.4314709652324,569.6309717436628,51.49053426877799,49.69161166802672,52.196980587384424,14.53510466592782,14.314913835970504,14.807800152990716,213.72441298158878,207.66569733547047,221.8403994128612,0.12043528266742627,0.0009317982903731418,0.050549209473988145,0.17907031717365887,0.2185400221887573,0.0,83097021.90660428,0.0,18606.115282069433,12527.683955344693,28670.96011949138,287.54365928130613,161.43978588350538,42602.92307407225,128.8397459039207,83095898.9815817,0.0,18296.30165721961,12394.885688271263,28423.89298504888,285.38973372117215,159.64899780560677,41895.69279218875,127.31032064740666,83097799.22706468,0.0,18787.761253883913,12722.929575236007,29292.60099439959,289.0603728704474,163.81166964513568,43241.58463025848,129.900106872702,4.3019425912628435,1428.4899092570886,0.0,87.28571428571429,578.5714285714287,4042.0
2020-03-15,611.2614581879004,592.8839262841433,625.0815571925391,49.30257285577592,47.8055267307686,50.538239803027764,13.8712985206105,13.48508388620253,14.076278351979155,209.07453971355557,201.66451162072778,220.4573187392859,0.12407558543778956,0.0009306600771682392,0.05088690616335791,0.18086665749397823,0.22960153015385792,0.0,83091446.51483996,0.0,19322.933504745823,12427.20599361967,28081.48550189721,272.5907225737137,154.7250317333374,48158.566546556394,145.01645179175753,83090051.25071143,0.0,19134.912660486036,12290.84956422943,27595.577881343797,267.538174573269,151.5370918714622,47631.257678558766,142.19802751630968,83093253.58713646,0.0,19582.60364968397,12602.501956860706,28567.3810802152,274.48125002158065,156.09743305873621,49006.52357397886,146.82350638382394,4.04850885984135,2110.7014275249817,0.0,101.14285714285714,706.530612244898,4371.571428571428
2020-03-16,655.7766497510943,642.5358197058362,671.0581091810925,46.534147949012784,44.732879140150885,48.10124173061636,13.061863681353433,12.611270271359633,13.396117540125793,214.6887194553619,206.88481229694807,225.61843985191965,0.13428476542734247,0.0009608523325639724,0.05042419273460236,0.17964104527221567,0.23666154575671647,0.0,83084008.01690201,0.0,20111.713615515906,12580.551165061052,27929.46327174943,259.03961913881176,148.14790009747054,54813.61453888852,157.78848578830227,83082564.87411533,0.0,19887.118710519164,12346.076982856512,27375.799794691422,253.85605359528063,145.61671737974376,53782.459964261936,155.2954778361708,83085797.97642604,0.0,20307.260284343378,12740.328862133287,28479.181771464973,262.3631707654188,149.40272876655393,56196.576811675535,159.3248931724062,8.982135274482728,2699.5941642395105,0.0,110.85714285714286,880.8163265306122,4576.428571428572
2020-03-17,717.1719660128756,718.8943414154014,718.8943414154014,43.53562781437083,43.5277662452977,43.5277662452977,12.116951813030154,12.05884439116788,12.05884439116788,203.8937094139897,202.5037997703598,202.5037997703598,0.14670162831706718,0.0009387837856755227,0.05008356541928008,0.17994785300422855,0.24657127341862997,0.0,83078678.79085115,0.0,21110.652211472327,12652.72088410449,27148.6513355247,241.93468878646632,140.62161014519438,59864.234432390826,171.74983466692336,83078749.49201025,0.0,21114.94639440611,12654.32179993421,27094.149440218323,241.39517335768448,140.58911694039682,59842.75624836982,171.7361386274403,83078749.49201025,0.0,21114.94639440611,12654.32179993421,27094.149440218323,241.39517335768448,140.58911694039682,59842.75624836982,171.7361386274403,1.211816895886863,3191.3803948690856,0.0,127.71428571428572,1099.1836734693877,4758.714285714285
2020-03-18,787.5047020837355,783.705670529539,792.7620299621049,41.23822713841844,40.910380250924355,42.09545301264624,11.463660248542995,10.799626480957116,11.989646955531919,200.6387982446459,190.4991195230685,202.2017606342714,0.15431586694005425,0.0009313597639622791,0.04983679939270547,0.17927792769934814,0.2584834476969259,0.0,83072035.03900513,0.0,22112.672921248344,12978.657604600197,26928.208358372343,230.02400612068422,136.32607264523506,65404.67898089618,183.32719911703597,83069768.22676572,0.0,22071.02673341991,12788.546425733393,26110.770973153678,229.18846122517613,132.0882898030211,64338.121958104355,181.79025886900615,83074154.91653536,0.0,22185.62090765402,13069.43574481551,27072.720670796683,232.68820073371808,137.79297087551433,67681.4674905879,188.7106409667619,2.182539183599671,3604.8020010198356,0.0,139.28571428571428,1361.8367346938776,4804.857142857143
2020-03-19,866.7897583290876,842.6924517815017,882.3364469718832,39.04244928644872,38.24475666387273,39.86700772601242,11.029930202922124,10.656985970487469,11.315851484349862,205.23385097930748,200.02984960663224,210.60200809666136,0.16534011191032036,0.0009395057826124592,0.05008778302473527,0.17729484163877995,0.26820033388940046,0.0,83063485.05060998,0.0,23457.151960395247,13434.168497476487,27306.092040303767,220.21198657315537,131.0701274243409,71780.34115093415,194.13756875383473,83062802.83828616,0.0,23259.11934350803,13300.377183855257,27192.26032076543,218.04383955354686,129.49445880098264,71009.61751138572,193.39274521155468,83064264.95775598,0.0,23580.794943316563,13585.823255756914,27420.797091190027,222.86870690967675,132.36056957603802,72473.71602005578,195.04287277712422,3.9936541681569007,3952.201758236961,0.0,143.85714285714286,1678.571428571429,4714.571428571428
