date,disease,country,region_id,region_name,signal_type,value,population,source,is_smoothed,is_imputed,quality_flag
2020-04-25,COVID-19,Germany,DE,Germany,reported_cases,152438,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-04-26,COVID-19,Germany,DE,Germany,reported_cases,154175,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-04-27,COVID-19,Germany,DE,Germany,reported_cases,155193,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-04-28,COVID-19,Germany,DE,Germany,reported_cases,156337,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-04-29,COVID-19,Germany,DE,Germany,reported_cases,157641,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-04-30,COVID-19,Germany,DE,Germany,reported_cases,159119,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-05-01,COVID-19,Germany,DE,Germany,reported_cases,160758,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-05-02,COVID-19,Germany,DE,Germany,reported_cases,161703,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-05-03,COVID-19,Germany,DE,Germany,reported_cases,162496,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-05-04,COVID-19,Germany,DE,Germany,reported_cases,163175,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-05-05,COVID-19,Germany,DE,Germany,reported_cases,163860,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-05-06,COVID-19,Germany,DE,Germany,reported_cases,164807,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-05-07,COVID-19,Germany,DE,Germany,reported_cases,166091,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-05-08,COVID-19,Germany,DE,Germany,reported_cases,167300,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-05-09,COVID-19,Germany,DE,Germany,reported_cases,168551,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-05-10,COVID-19,Germany,DE,Germany,reported_cases,169218,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-05-11,COVID-19,Germany,DE,Germany,reported_cases,169575,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-05-12,COVID-19,Germany,DE,Germany,reported_cases,170508,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-05-13,COVID-19,Germany,DE,Germany,reported_cases,171306,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-05-14,COVID-19,Germany,DE,Germany,reported_cases,172239,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-05-15,COVID-19,Germany,DE,Germany,reported_cases,173152,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-05-16,COVID-19,Germany,DE,Germany,reported_cases,173772,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-05-17,COVID-19,Germany,DE,Germany,reported_cases,174355,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-05-18,COVID-19,Germany,DE,Germany,reported_cases,174697,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-05-19,COVID-19,Germany,DE,Germany,reported_cases,175210,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-05-20,COVID-19,Germany,DE,Germany,reported_cases,176007,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
