process_noise_scale,mean_coverage_80_band,coverage_cases,coverage_deaths,coverage_icu,coverage_hospitalization_proxy
0.003,0.0,0.0,0.0,0.0,0.0
0.01,0.0,0.0,0.0,0.0,0.0
0.02,0.0002281021897810219,0.0,0.0,0.0009124087591240876,0.0
0.05,0.0011405109489051094,0.0,0.0009124087591240876,0.0009124087591240876,0.002737226277372263
