date,cases_mean,cases_q10,cases_q90,deaths_mean,deaths_q10,deaths_q90,icu_mean,icu_q10,icu_q90,hospitalization_proxy_mean,hospitalization_proxy_q10,hospitalization_proxy_q90,ess
2020-03-10,44869.304944201605,44869.07624220167,44869.53536441765,177.01406022932025,177.0054636340961,177.0223331195755,1904.814879075313,1904.657885819168,1904.980468247926,8313.995338871953,8313.625514521285,8314.343601952434,250.00000000000017
2020-03-11,52502.12170193201,52501.77878053736,52502.43846097704,176.71990577206995,176.70881120545044,176.73044395768935,1944.6943178751108,1944.4900829788592,1944.9079757572779,8277.524347016782,8277.04791450852,8277.96653684824,249.9999999999999
2020-03-12,58943.68847266505,58943.25215531983,58944.09192008333,176.41886613219629,176.4064839532033,176.43128495942818,1979.1131989416585,1978.8591627719766,1979.3768582334333,8243.564954883142,8243.046964499134,8244.079809320729,250.00000000000017
2020-03-13,64849.666199545776,64849.12401172054,64850.16775230594,176.5467827137752,176.53383447620587,176.5609486316301,2008.7163418598197,2008.425428960908,2008.9887312941137,8234.716805009315,8234.188430873515,8235.319016773105,249.9999999999999
2020-03-14,70602.16205955352,70601.59121301744,70602.72711946635,177.36582107850563,177.35247062187204,177.3814064562204,2034.7995160579826,2034.4981338009213,2035.0968937976913,8264.096100943463,8263.552067571729,8264.759869381236,250.00000000000017
2020-03-15,76428.0254285482,76427.33796227639,76428.67915283713,179.03847642425865,179.02336428180104,179.0540931388279,2058.8936413600304,2058.5677783527995,2059.184635266037,8339.449474245177,8338.825605172266,8340.118251903554,249.9999999999999
2020-03-16,82466.1220107755,82465.34648977715,82466.84580298203,181.66764198365,181.65260668416443,181.68337861039217,2082.5915595630963,2082.2731384559356,2082.9260640707967,8465.354020422054,8464.730278926583,8466.006208930748,250.00000000000017
2020-03-17,88805.26500956585,88804.43386512989,88806.10306139257,185.32335409146745,185.30794875641922,185.33841164628868,2107.4726975044236,2107.10590071705,2107.8230436030567,8644.664585074906,8644.046828907827,8645.272695276743,249.9999999999999
2020-03-18,95506.01604417375,95505.08515123602,95507.04052137687,190.05800361652993,190.0421714825882,190.07457919602007,2135.00742622198,2134.6162432517212,2135.379189071193,8879.364702858427,8878.737318424788,8880.041437121481,250.00000000000017
2020-03-19,102612.69880987887,102611.70448648163,102613.73154026733,195.9104603458349,195.89285180923144,195.92718669120103,2166.5312179486214,2166.1234399730465,2166.905081687976,9170.797271913088,9170.085126815842,9171.480835490594,249.9999999999999
2020-03-20,110160.3736830268,110159.26569086402,110161.44129522951,202.9162049602426,202.89854174052346,202.93377060627898,2203.3431055016954,2202.942234682571,2203.700454752503,9520.145995011875,9519.427336510409,9520.882424144944,250.00000000000017
2020-03-21,118178.66827617539,118177.33209899075,118179.87115639441,211.10810793938458,211.0892418578699,211.1257488544105,2246.586822510213,2246.2035930200022,2246.9721710826175,9928.538932330655,9927.747680403678,9929.264586504438,249.9999999999999
2020-03-22,126693.7254190515,126692.3677865377,126695.0487484527,220.51965097902215,220.50147350078882,220.53793211394117,2297.3109261171253,2296.9243069752797,2297.698502325404,10397.186406202678,10396.433180580843,10397.944583720377,250.00000000000017
2020-03-23,135729.26391464626,135727.82281522366,135730.7684303175,231.18292116617212,231.1645553039163,231.20207044413166,2356.512317726352,2356.163669607705,2356.8668216581764,10927.252525732032,10926.469400412592,10928.073801449995,249.9999999999999
2020-03-24,145307.1039468169,145305.59567623597,145308.61277413988,243.13460918369444,243.11599415068162,243.15246825640236,2425.116704053949,2424.741251863805,2425.4901286572403,11520.181165429209,11519.399033265452,11520.924577359472,250.00000000000017
2020-03-25,155446.92960020178,155445.09111956228,155448.58026535768,256.4129437744718,256.393790493629,256.43127717911653,2503.940467298896,2503.5239997109798,2504.328588248956,12177.554689551727,12176.765815606273,12178.315331401418,249.9999999999999
2020-03-26,166166.53341608914,166164.54573188737,166168.23020849016,271.05724839896,271.03903977447334,271.0767318980169,2593.831127429103,2593.4217835100712,2594.240893517367,12900.996690772052,12900.25378628277,12901.80647172859,250.00000000000017
2020-03-27,177481.09562997185,177478.91798667365,177482.84960507145,287.1092845228712,287.0902171658578,287.1284316596676,2695.5336057845275,2695.118288660578,2695.9481525935266,13692.313077106628,13691.528119960632,13693.102638617494,249.9999999999999
2020-03-28,189403.06109780824,189400.8438921501,189405.0547992609,304.6150382887856,304.59550004306396,304.63639578790907,2809.7867145591335,2809.3226603343132,2810.246049399834,14553.535323326016,14552.751233669518,14554.41764704793,250.00000000000017
2020-03-29,201941.26295819558,201938.9367060416,201943.27093005768,323.6210254200326,323.5996959498051,323.64106594614543,2937.3094549292296,2936.862105665406,2937.768311986636,15486.733203723174,15485.84604700795,15487.546464541001,249.9999999999999
2020-03-30,215100.68931008186,215098.11451514863,215102.9952375138,344.17443946876585,344.15201274091396,344.196332858535,3078.821844444853,3078.369077972522,3079.2812411765485,16494.011632858805,16493.06957690467,16494.922128777343,250.00000000000017
2020-03-31,228881.524441893,228878.93043228757,228884.20663497224,366.32471867908134,366.30187009518767,366.3459462580961,3234.976849381925,3234.481769858585,3235.4342940320216,17577.628957119057,17576.6869682422,17578.505437777676,249.9999999999999
2020-04-01,243278.54994605377,243275.79054918658,243281.28982699744,390.1209249666949,390.09669620942543,390.14243337477455,3406.4579807285,3405.962401982268,3406.879989459548,18739.80763996894,18738.793273136987,18740.717551588372,250.00000000000017
2020-04-02,258280.64167702943,258277.85330327408,258283.55622089232,415.6121128123703,415.59007126695514,415.6352198490469,3593.9384501029717,3593.485097201918,3594.3751143963086,19982.775174281083,19981.85369973347,19983.761510793887,249.9999999999999
2020-04-03,273869.5636410637,273866.52189673577,273872.51592862845,442.8444666662499,442.8207004240859,442.86693124044484,3798.0869733387012,3797.6259469867555,3798.520445505182,21308.61036488752,21307.602155485176,21309.564567652265,250.00000000000017
2020-04-04,290019.5537171386,290016.3068271286,290022.7248162995,471.8652076895272,471.83992206922,471.8892412789408,4019.5361919531038,4019.0552548765327,4019.9682208018953,22719.465566841904,22718.387869497616,22720.503108995887,249.9999999999999
2020-04-05,306696.34705006453,306692.75246631843,306699.49302547926,502.7128335877092,502.68964496102126,502.7376358882584,4258.9749694527345,4258.565502316802,4259.410523443338,24217.004415430623,24215.999470413328,24218.080560727634,250.00000000000017
2020-04-06,323856.5992267319,323853.1227674256,323860.0322272401,535.4266327851133,535.4012913242992,535.4544387259257,4516.978597363709,4516.53928816988,4517.447574995834,25802.991937446117,25801.88939171581,25804.20857768249,249.9999999999999
2020-04-07,341447.33121066785,341443.8153855229,341450.8667815608,570.0341724364067,570.0066148247387,570.062377512393,4794.205244873352,4793.712737570308,4794.67554963438,27478.532630930167,27477.341444686084,27479.769579792064,250.00000000000017
2020-04-08,359405.1286479764,359401.3348684546,359408.79809518694,606.5601325757459,606.5339530494481,606.5875222297775,5091.2000904230945,5090.634685496589,5091.717110852784,29244.638509027107,29243.55822076222,29245.807953749987,249.9999999999999
2020-04-09,377655.81889752316,377652.08432639355,377659.56141067104,645.018295171544,644.9880184760486,645.0470431184397,5408.521748770768,5407.972537629206,5409.066327834887,31101.740930728225,31100.436478934556,31102.96736000478,250.00000000000017
2020-04-10,396114.4297234302,396110.54080215085,396118.31621384487,685.4100866822125,685.3790168679651,685.4421319608742,5746.632971416175,5746.043665299104,5747.1967797715815,33049.671419371094,33048.3463271039,33051.06127174518,249.9999999999999
2020-04-11,414684.97671932064,414680.67803126347,414688.92606689886,727.727094794474,727.6979196519422,727.757925876896,6105.986769128278,6105.402009700283,6106.585777186798,35087.74879490481,35086.52102920734,35089.05621605411,250.00000000000017
2020-04-12,433260.45403061656,433256.32577355613,433264.508807162,771.9441218811908,771.9115783861531,771.9757825350088,6486.957706433662,6486.32662181586,6487.59147167032,37214.449727202846,37213.0690614734,37215.78251675293,249.9999999999999
2020-04-13,451723.91026875586,451719.73336232716,451727.96738957695,818.0210104305114,817.9868076995074,818.0549687619671,6889.826098557769,6889.187763563309,6890.548893472464,39427.51312868072,39426.048950730226,39428.919990907496,250.00000000000017
2020-04-14,469948.6482606393,469944.3359661671,469952.8714226532,865.8997408547522,865.8662862213848,865.938078091397,7314.769083581645,7314.134302794803,7315.487055286463,41723.792106259774,41722.36543123351,41725.43197571223,249.9999999999999
2020-04-15,487799.9488281869,487795.7617529558,487804.30602680636,915.5031934490864,915.4664358009557,915.5411468911119,7761.841120656298,7761.157570375058,7762.474175450725,44099.19906539597,44097.624215642376,44100.86342824235,250.00000000000017
2020-04-16,505135.9052700038,505131.73602391063,505140.08710897935,966.7316377498479,966.6918130155232,966.7702228107307,8231.023220915962,8230.315244201933,8231.648703360179,46548.49502845728,46546.77160913178,46550.196619848895,249.9999999999999
2020-04-17,521809.6803095213,521805.6084237521,521813.87212053395,1019.4637921328344,1019.421661087859,1019.5045290375215,8722.075748430801,8721.339532014033,8722.812256728865,49065.42287623823,49063.59293514309,49067.17928790699,250.00000000000017
2020-04-18,537671.5656809206,537667.4373758802,537675.2847284186,1073.5563539055177,1073.513918712553,1073.5970549447322,9234.621259150643,9233.886461211541,9235.38629686496,51642.639016526904,51640.79232107566,51644.378525056985,249.9999999999999
2020-04-19,552571.5452874986,552567.5997080114,552575.4485246227,1128.839581076047,1128.7960934773812,1128.8820564413404,9768.097662466826,9767.325782541779,9768.887110189246,54271.50549744097,54269.62292905071,54273.325544181476,250.00000000000017
2020-04-20,566361.6702851458,566357.874361051,566365.7259438309,1185.1216031964082,1185.080743925378,1185.167591065308,10321.739797700264,10320.925625115626,10322.662885210937,56942.326590495024,56940.60461443274,56944.261169115714,249.9999999999999
