date,cases,deaths
2014-11-23,82.0,26.0
2014-11-24,102.0,26.0
2014-11-25,102.0,26.0
2014-11-26,102.0,26.0
2014-11-27,102.0,26.0
2014-11-28,102.0,26.0
2014-11-29,102.0,26.0
2014-11-30,102.0,26.0
2014-12-01,84.0,26.0
2014-12-02,84.0,26.0
2014-12-03,84.0,26.0
2014-12-04,84.0,26.0
2014-12-05,84.0,26.0
2014-12-06,84.0,26.0
2014-12-07,84.0,26.0
2014-12-08,66.0,45.0
2014-12-09,66.0,45.0
2014-12-10,66.0,45.0
2014-12-11,66.0,45.0
2014-12-12,66.0,45.0
2014-12-13,66.0,45.0
2014-12-14,66.0,45.0
2014-12-15,97.0,78.0
2014-12-16,97.0,78.0
2014-12-17,97.0,78.0
2014-12-18,97.0,78.0
2014-12-19,97.0,78.0
2014-12-20,97.0,78.0
2014-12-21,65.0,26.0
2014-12-22,66.0,24.0
2014-12-23,66.0,24.0
2014-12-24,66.0,24.0
2014-12-25,69.0,26.0
2014-12-26,69.0,26.0
2014-12-27,69.0,26.0
2014-12-28,37.0,26.0
2014-12-29,62.0,23.0
2014-12-30,62.0,23.0
2014-12-31,62.0,23.0
2015-01-01,30.0,29.0
2015-01-02,30.0,29.0
2015-01-03,30.0,29.0
2015-01-04,58.0,28.0
2015-01-05,250.0,34.0
