date,cases,ILI_rate_per_100k
2023-10-02,504,19.7
2023-10-09,545,21.3
2023-10-16,713,27.9
2023-10-23,504,19.7
2023-10-30,903,35.3
2023-11-06,854,33.4
2023-11-13,1128,44.1
2023-11-20,1174,45.9
2023-11-27,969,37.9
2023-12-04,1256,49.1
2023-12-11,1542,60.3
2023-12-18,1266,49.5
2023-12-25,703,27.5
2024-01-01,1092,42.7
2024-01-08,1394,54.5
2024-01-15,1711,66.9
2024-01-22,1885,73.7
2024-01-29,1885,73.7
2024-02-05,1754,68.6
2024-02-12,1409,55.1
2024-02-19,1248,48.8
2024-02-26,1059,41.4
2024-03-04,1015,39.7
2024-03-11,685,26.8
2024-03-18,596,23.3
2024-03-25,560,21.9
